               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.021596,           0.0085604,           0.0031824,             0.97305,             0.97773,             0.98648,             0.72966,            0.017857,           0.0067271,           0.0021222,           0.0045184,           0.0045184,           0.0045184
                  59,            0.021663,           0.0085494,           0.0030848,             0.97982,              0.9655,             0.98551,             0.72559,            0.017898,           0.0067558,           0.0021944,           0.0043809,           0.0043809,           0.0043809
                  60,             0.02162,           0.0085742,           0.0031735,             0.96823,             0.97564,             0.98643,              0.7287,            0.017859,           0.0067404,           0.0021976,           0.0042445,           0.0042445,           0.0042445
                  61,            0.021616,           0.0085469,           0.0029402,             0.97308,             0.97225,             0.98475,             0.72594,            0.017862,            0.006729,           0.0021361,           0.0041094,           0.0041094,           0.0041094
                  62,            0.021534,           0.0085164,           0.0027768,             0.97812,             0.97175,             0.98616,             0.72575,            0.017837,           0.0067232,           0.0020697,           0.0039757,           0.0039757,           0.0039757
                  63,            0.021554,           0.0083481,           0.0028848,             0.97812,             0.97721,             0.98902,             0.72925,            0.017869,           0.0067268,            0.002073,           0.0038434,           0.0038434,           0.0038434
                  64,            0.021263,           0.0084331,           0.0029386,             0.97569,             0.97375,             0.98798,             0.73067,            0.017857,           0.0067293,           0.0021045,           0.0037128,           0.0037128,           0.0037128
                  65,            0.021361,           0.0083627,           0.0027952,             0.96765,             0.98067,             0.98707,             0.73301,            0.017774,           0.0067106,           0.0021091,            0.003584,            0.003584,            0.003584
                  66,             0.02122,           0.0084195,           0.0026093,             0.98049,             0.96701,             0.98746,             0.72958,            0.017817,           0.0067069,           0.0021397,            0.003457,            0.003457,            0.003457
                  67,            0.021036,           0.0084407,           0.0026836,             0.97442,             0.97285,             0.98529,             0.72641,            0.017831,           0.0066964,           0.0021697,           0.0033321,           0.0033321,           0.0033321
                  68,            0.021171,           0.0083329,           0.0028981,             0.97289,             0.97837,             0.98656,             0.72933,            0.017841,           0.0066816,           0.0021473,           0.0032093,           0.0032093,           0.0032093
