               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.022147,           0.0086471,           0.0033956,             0.97733,             0.97187,              0.9873,             0.73028,            0.017986,           0.0068065,            0.002134,           0.0053587,           0.0053587,           0.0053587
                  53,            0.022289,             0.00864,           0.0035005,             0.97457,             0.97414,             0.98718,             0.72761,            0.017938,           0.0068017,           0.0023247,           0.0052174,           0.0052174,           0.0052174
                  54,            0.022164,            0.008618,           0.0036298,             0.97473,             0.97623,             0.98813,             0.72892,             0.01792,             0.00678,           0.0024422,           0.0050765,           0.0050765,           0.0050765
                  55,            0.022071,           0.0087169,           0.0032701,             0.97072,             0.97809,             0.98741,             0.72586,            0.017976,           0.0067835,           0.0023602,            0.004936,            0.004936,            0.004936
                  56,            0.021947,           0.0086755,           0.0033716,             0.97422,              0.9744,             0.98648,             0.72786,             0.01794,           0.0067838,           0.0023318,            0.004796,            0.004796,            0.004796
                  57,            0.021767,           0.0086762,            0.003176,             0.97336,             0.97517,             0.98789,             0.73154,            0.017775,            0.006728,           0.0022617,           0.0046568,           0.0046568,           0.0046568
                  58,            0.021802,            0.008478,           0.0033587,             0.97328,             0.97284,             0.98452,             0.72687,            0.017929,           0.0067692,           0.0023645,           0.0045184,           0.0045184,           0.0045184
                  59,            0.021822,           0.0085184,           0.0031752,             0.98093,              0.9735,             0.98807,             0.73158,            0.017776,           0.0067191,             0.00218,           0.0043809,           0.0043809,           0.0043809
                  60,            0.021661,           0.0085159,           0.0030106,             0.97408,             0.97383,             0.98412,             0.73159,            0.017835,           0.0067479,           0.0023337,           0.0042445,           0.0042445,           0.0042445
                  61,            0.021474,           0.0085917,           0.0031416,             0.97552,             0.97278,              0.9867,             0.73014,            0.017777,           0.0067324,           0.0022364,           0.0041094,           0.0041094,           0.0041094
                  62,            0.021384,           0.0084272,           0.0031849,              0.9754,             0.97513,              0.9868,             0.72671,            0.017933,           0.0067602,           0.0022669,           0.0039757,           0.0039757,           0.0039757
                  63,            0.021603,           0.0083925,           0.0029255,             0.97138,             0.97651,             0.98604,              0.7312,            0.017847,           0.0067487,           0.0023507,           0.0038434,           0.0038434,           0.0038434
                  64,             0.02156,           0.0084738,           0.0027835,             0.97498,             0.97614,             0.98787,             0.73011,             0.01782,           0.0067589,           0.0022448,           0.0037128,           0.0037128,           0.0037128
                  65,              0.0213,           0.0084125,           0.0028731,              0.9774,              0.9712,             0.98721,             0.72836,            0.017841,           0.0067286,           0.0022617,            0.003584,            0.003584,            0.003584
                  66,            0.021232,           0.0084404,           0.0029176,             0.97587,             0.97113,             0.98476,             0.72833,            0.017787,           0.0067138,           0.0023527,            0.003457,            0.003457,            0.003457
                  67,            0.021245,           0.0082733,           0.0028546,             0.97706,             0.96881,             0.98594,             0.73165,            0.017795,           0.0067022,           0.0022306,           0.0033321,           0.0033321,           0.0033321
                  68,            0.021347,           0.0084545,           0.0028417,             0.97316,             0.97314,             0.98542,             0.73129,            0.017771,           0.0066841,           0.0022902,           0.0032093,           0.0032093,           0.0032093
                  69,            0.021202,           0.0082888,           0.0028394,             0.97398,              0.9743,             0.98672,             0.73231,             0.01774,           0.0066919,           0.0022457,           0.0030888,           0.0030888,           0.0030888
                  70,            0.021196,           0.0084798,           0.0025713,             0.97806,             0.96884,             0.98584,              0.7331,            0.017719,           0.0066942,           0.0023803,           0.0029706,           0.0029706,           0.0029706
                  71,            0.020851,           0.0081964,           0.0027308,             0.97591,             0.97301,              0.9853,             0.73071,             0.01769,           0.0066729,           0.0022913,            0.002855,            0.002855,            0.002855
                  72,             0.02103,           0.0083303,           0.0026377,             0.97378,             0.97643,             0.98657,             0.73194,            0.017753,           0.0066807,           0.0022192,           0.0027419,           0.0027419,           0.0027419
                  73,            0.020894,           0.0083377,           0.0024797,             0.98076,              0.9675,             0.98585,             0.73254,            0.017727,           0.0066887,           0.0022666,           0.0026316,           0.0026316,           0.0026316
                  74,            0.020755,           0.0082311,            0.002475,             0.97302,             0.97832,              0.9862,             0.73439,            0.017669,           0.0066581,            0.002212,           0.0025241,           0.0025241,           0.0025241
